SampleNumber Mobility(cm^2/Vs)
0 0.35301512948626174
1 0.3034288177062693
2 0.40496809289412344
3 0.39664547836818026
4 0.4851212322956048
5 0.5450989023493935
6 0.42188746542246414
7 0.4257041210383961
8 0.3461569036175501
9 0.31879717824156895
10 0.39598628495732513
11 0.39138668768260343
12 0.31629015537900285
13 0.398834763609962
14 0.4822643205423217
15 0.5840545225207895
16 0.38864533738944407
17 0.34533596413545964
18 0.4356958494764185
19 0.4553969164539612
20 0.4735594370943324
21 0.4676050473942419
22 0.3145558957370789
23 0.4256367130333936
24 0.40441778399907935
25 0.3554059421605983
26 0.3946199220358827
27 0.38633977714645423
28 0.36198401562843796
29 0.4172408979861755
30 0.30620035018855285
31 0.3901290661117133
32 0.4899922487191885
33 0.4875786276146287
34 0.4334300958751893
35 0.4778964534693288
36 0.3928316518059401
37 0.4640566001707628
38 0.46022497525186096
39 0.43488839215227015
40 0.43346056593571924
41 0.5171055040451658
42 0.49055587656916133
43 0.42355865029691675
44 0.33255587460213476
45 0.39645755075065503
46 0.386342358631761
47 0.39177442142001073
48 0.35662194106538325
49 0.4661570353720106
