SampleNumber Mobility(cm^2/Vs)
0 1.2007935586081229
1 1.1635370528029
2 1.2055497437486982
3 1.2382714499182992
4 1.0759954808416488
5 1.147138051859066
6 1.2051916790825
7 1.1340825727435748
8 1.3104578731094998
9 1.2012224045826123
10 1.3394664617915573
11 1.1332845382580914
12 1.1909872341831702
13 1.1567256790613776
14 1.3880051801354347
15 1.2821021536456403
16 1.2643166745112913
17 1.337074382132553
18 1.2037570205368708
19 1.2172201088744306
20 1.2958441964167222
21 1.3307512209970926
22 1.3394664617915573
23 1.4130649325834257
24 1.321605731927734
25 1.3654301015964125
26 1.2923982017706193
27 1.1815128670054929
28 1.2733460251413575
29 1.1817524078053583
30 1.1635370528029
31 1.304511233622075
32 1.1830176822817613
33 1.321156182296222
34 1.1677658454411919
35 1.3036913380677724
36 1.3052758034290664
37 1.2154212030863718
38 1.3015865247135479
39 1.1876367071312597
40 1.287853667127163
41 1.3119533214555226
42 1.1815128670054929
43 1.2007935586081229
44 1.3189267098304975
45 1.2282557995712733
46 1.1737084066701917
47 1.151804887229841
48 1.2652785885881408
49 1.199861449886479
