SampleNumber Mobility(cm^2/Vs)
0 0.22786936653009365
1 0.2257358864596062
2 0.34205370323426015
3 0.28504631309594725
4 0.24171616007790414
5 0.1392019417764483
6 0.3624922659178267
7 0.2850861441954754
8 0.4264844445579572
9 0.31229276571941034
10 0.2506962063783297
11 0.2440464504357094
12 0.17092439809135396
13 0.3578957636173025
14 0.1526012897013126
15 0.20051048906107655
16 0.1982991210055267
17 0.18186612896689064
18 0.21474787788112226
19 0.17771708815114629
20 0.22847512307679935
21 0.15730542114407892
22 0.18678324386539943
23 0.3327891818739379
24 0.32619910123868007
25 0.28258697134256794
26 0.16625121156657297
27 0.1870890752204422
28 0.22601711282842227
29 0.23450551002823045
30 0.10717428398458832
31 0.17780545534397285
32 0.3149709305334888
33 0.2779758118578794
34 0.25544302682069875
35 0.16648891744595498
36 0.22368206556349632
37 0.22753741704310487
38 0.09344703878891122
39 0.2485772693703457
40 0.28094400059024555
41 0.33940325183762815
42 0.1982991210055267
43 0.364527917557511
44 0.10713279842390698
45 0.3261469014016012
46 0.33548272111514943
47 0.052120749056119235
48 0.22786936653009365
49 0.26673028618700895
