SampleNumber Mobility(cm^2/Vs)
0 0.37891832204655396
1 0.31648627875891455
2 0.40521755696710066
3 0.2231053422985022
4 0.39086683135262984
5 0.3309553615382273
6 0.32208436992752804
7 0.22052222403984373
8 0.30915675651664365
9 0.3826412516776778
10 0.2938590123766691
11 0.31358212407100206
12 0.32657001115796197
13 0.3639782491436384
14 0.289670156725344
15 0.3737613917782753
16 0.33565059195763725
17 0.33757910389186746
18 0.2274619653895429
19 0.33757910389186746
20 0.30823266965946944
21 0.3268047514481042
22 0.38236794762558485
23 0.3765565838738747
24 0.2775122880690105
25 0.3662365167159654
26 0.29807659040491413
27 0.2794408000032408
28 0.37417994899636864
29 0.32682573974910634
30 0.2357868801152016
31 0.3664913765235118
32 0.25861128761257746
33 0.23596421124606887
34 0.28852455466804716
35 0.3209954212595779
36 0.36236737846894274
37 0.3626143591763538
38 0.33978586357042573
39 0.3699410021025427
40 0.32754645499859003
41 0.3826412516776778
42 0.3227408299137804
43 0.31286252675058335
44 0.33411621478172926
45 0.3244450468386088
46 0.3327725265704592
47 0.334875977240861
48 0.42125336216299913
49 0.31819698445920536
