SampleNumber Mobility(cm^2/Vs) Pair_STD
0 3.7060644224356905 0.38926445237190205
1 2.9022553767349764 0.2459633866952979
2 3.009999109474289 0.38782554425977916
3 1.696448691458691 0.24284307673060596
4 0.9717301620106698 0.1617081960172223
5 2.0147124301652366 0.30839636703892054
6 2.0303226771977476 0.18536990750773785
7 0.728420954328395 0.10399793572945366
8 1.8173760397942327 0.1813766693846917
9 2.8293842050271754 0.21841324516589428
10 2.5109315093518374 0.35096675115940507
11 3.0734188515525167 0.4395251428544018
12 3.7074364962675856 0.23896648014300337
13 1.460909107591505 0.13255619864862553
14 1.2751370941877174 0.1979014786552265
