SampleNumber Mobility(cm^2/Vs) Pair_STD
0 2.053834727182736 0.3836165945651128
1 1.5214219844164385 0.49784667961829737
2 2.875642752959973 0.5337556449278155
3 0.8471461554340431 0.4361931998490567
4 0.5561034130686625 0.28837358224992465
5 1.9466751239177724 0.4306178917994378
6 1.0233117325131758 0.5808864542937884
7 0.38440526566112476 0.16596620247041619
8 0.30317718699633445 0.40750737326542413
9 2.4780518677048127 0.2639789117358426
10 1.837913020580308 0.5319003324071451
11 1.8752745152022174 0.49722903263453544
12 1.4567660834787834 0.5748905301864057
13 0.649663201894658 0.3281399184243108
14 0.3836424841180107 0.3783290548763245
