nelec Mobility(cm/Vs) Pair_STD
3.0 0.0010258225500480338 2.569997529929972E-4
3.5 0.011170236928909871 8.717467429710353E-4
4.0 0.04120329210308035 0.0026506583458329666
4.5 0.08571192699433106 0.003897628364989563
5.0 0.1370731846914381 0.005263591059450145
5.5 0.18477280881762811 0.007648821239876173
6.0 0.2213350976376035 0.006426990374355213
6.5 0.21242679738489123 0.007808385734258246
7.0 0.18397957766239745 0.007048635608946369
7.5 0.22718164161629853 0.008890471505535753
8.0 0.3427409904768154 0.012755134990715051
