SampleNumber Mobility(cm^2/Vs)
0 -1.216576563403195
1 3.7014284370898416
2 1.5532405936866973
3 4.6308384162105884
4 4.50743137112939
5 7.643061205613974
6 2.437727498919893
7 3.321617000373857
8 1.1764653937309444
9 -0.3421914681410665
10 5.171472335080985
11 1.423415171132208
12 3.9783159995711364
13 5.139969360294888
14 2.784182465820744
